Hour,DayOfWeek,Hour,Temp,A/D,Runway,Airline,From/To,Aircraft Type
18,1,18,27.4,0,0,13,6,6
18,5,18,22.6,0,0,5,13,1
4,6,4,12.2,0,0,0,5,5
15,5,15,24.4,0,1,0,4,5
13,0,13,24.5,0,1,0,12,6
10,3,10,8.5,0,0,14,19,12
11,3,11,11.3,0,0,0,24,5
15,2,15,28.9,0,0,7,67,24
15,4,15,15.2,0,1,13,6,6
11,3,11,10.5,0,0,0,12,6
5,0,5,12.8,0,0,21,3,5
11,1,11,12.9,0,0,7,20,18
23,1,23,12.9,0,0,5,6,1
9,2,9,15.1,0,0,0,18,5
16,6,16,10.0,0,0,21,3,0
9,5,9,9.6,0,0,15,19,7
9,1,9,14.0,0,0,0,15,7
16,5,16,29.4,0,1,0,24,6
10,1,10,15.8,0,0,0,9,6
12,3,12,20.8,0,0,4,18,1
18,2,18,12.6,0,0,0,6,5
8,3,8,13.2,0,0,5,10,1
21,2,21,15.5,0,0,21,3,5
14,6,14,27.8,0,1,6,18,8
12,4,12,27.2,0,1,0,7,5
13,5,13,31.6,0,1,0,23,5
6,3,6,4.5,0,0,0,55,5
23,4,23,7.7,0,0,4,29,1
8,2,8,4.4,0,0,21,3,5
10,3,10,17.5,0,1,0,28,5
18,4,18,24.1,0,0,0,23,6
21,3,21,19.6,0,0,0,22,0
13,6,13,18.6,0,0,9,21,11
6,0,6,0.3,0,0,4,9,5
10,4,10,7.5,0,0,20,19,15
12,1,12,15.6,0,0,0,5,5
5,2,5,16.2,0,0,0,9,5
13,5,13,15.3,0,0,0,6,6
6,6,6,11.9,0,0,0,55,5
0,0,0,12.0,0,0,16,32,14
11,2,11,10.3,0,0,10,22,11
23,3,23,8.8,0,0,6,18,8
20,6,20,9.3,0,0,5,3,1
21,3,21,15.0,0,0,0,22,0
21,3,21,10.5,0,0,10,38,10
18,4,18,30.3,0,0,0,62,5
13,1,13,27.0,0,0,2,2,2
14,3,14,24.8,0,0,0,29,6
12,3,12,11.7,0,0,0,5,6
4,3,4,12.4,0,0,0,26,5
15,1,15,12.4,0,0,21,71,5
14,3,14,21.6,0,0,0,41,5
14,4,14,24.7,0,1,5,14,1
18,5,18,7.3,0,0,0,25,5
12,1,12,11.1,0,0,5,29,4
8,4,8,8.0,0,0,4,39,1
11,4,11,24.5,0,0,0,12,5
19,5,19,26.1,0,0,0,29,6
21,2,21,12.5,0,0,0,31,6
5,3,5,12.9,0,0,0,100,6
6,2,6,6.5,0,0,21,3,5
7,6,7,4.8,0,0,0,7,5
4,1,4,11.0,0,0,0,23,5
20,0,20,15.9,0,0,5,10,4
6,6,6,8.6,0,0,8,19,10
8,5,8,10.4,0,0,6,18,27
18,0,18,29.5,0,0,5,23,4
6,4,6,14.8,0,0,1,56,14
12,1,12,23.2,0,1,0,29,5
18,5,18,28.2,0,1,13,6,6
21,1,21,18.2,0,0,21,3,5
5,1,5,5.7,0,0,0,40,5
11,5,11,18.9,0,0,0,13,6
15,3,15,26.8,0,1,25,51,21
11,6,11,15.4,0,0,8,19,10
11,3,11,21.2,0,0,20,7,15
6,3,6,11.6,0,0,5,10,4
7,5,7,15.2,0,1,5,18,5
23,0,23,17.1,0,0,0,31,6
8,4,8,15.4,0,1,0,3,7
6,1,6,13.4,0,1,0,9,6
12,1,12,25.1,0,1,0,5,6
5,2,5,11.6,0,0,21,3,5
21,2,21,8.8,0,0,15,19,7
20,2,20,17.1,0,0,5,6,1
22,2,22,19.3,0,1,0,8,6
18,0,18,24.3,0,0,21,3,0
23,3,23,14.7,0,0,0,35,0
14,0,14,11.6,0,0,5,10,1
5,3,5,0.7,0,0,0,9,6
4,6,4,16.0,0,0,0,3,5
12,5,12,17.8,0,0,0,6,0
16,4,16,16.4,0,0,5,5,4
23,6,23,23.3,0,1,17,33,15
17,6,17,19.7,0,0,0,13,6
9,0,9,14.6,0,0,5,14,1
9,5,9,21.7,0,0,0,3,6
10,6,10,16.8,0,0,8,19,10
9,6,9,16.1,0,1,0,14,5
14,6,14,12.2,0,0,0,12,6
5,6,5,6.4,0,0,0,5,6
15,0,15,29.9,0,1,6,18,8
10,4,10,13.6,0,0,25,51,22
10,6,10,9.3,0,0,0,20,6
5,2,5,8.1,0,0,0,9,6
0,4,0,3.3,0,0,13,6,4
11,3,11,22.1,0,1,0,29,5
19,3,19,22.7,0,0,5,12,1
2,1,2,16.1,0,0,2,2,2
11,4,11,17.8,0,0,28,7,0
18,5,18,15.8,0,0,0,25,6
4,3,4,7.7,0,0,2,2,8
5,3,5,10.5,0,0,14,19,15
7,1,7,3.4,0,0,4,9,1
13,5,13,28.8,0,0,0,25,6
18,0,18,16.3,1,2,4,4,5
4,6,4,18.3,0,0,0,8,5
22,6,22,13.7,0,0,0,26,6
